NMUESTRA,LONGITUD,LATITUD,ELEVACION,FECHA,Au,Ag,Cu,Pb,Zn,Mo,Ni,Co,Cd,Fe,Mn,Te,Ba,Cr,V,Sn,W,La,Al,Mg,Ca,Na,K,Sr,Y,Ga,Li,Nb,Sc,Ta,Ti,Zr,As,Sb,Hg,Pt,Pd,LITHOLOGY,CODIGO
8851,784398.91,93142.28,1399.79,24/06/1998,3.33,0.66,28,5,50,0.7,5,12,0.46,4.3,633,6.66,96,12,97,13.33,13.33,4,2.86,0.44,0.23,0.02,0.02,20,6,2,4,10,6,6.66,0.1,2,2.66,1.26,0.054,3.33,1,Volcánicos andesíticos,MPlv
8894,787654.14,88470.78,971.56,24/06/1998,6,0.66,93,7,95,0.7,86,36,0.46,6.21,688,6.66,107,181,163,13.33,13.33,4,4.23,1.45,0.56,0.02,0.04,25,8,3,10,16,20,6.66,0.15,8,2.66,1.26,0.059,6,8,Depósitos recientes no consolidados,QA
9139,806004.11,97063.51,1171.41,15/06/1998,7,0.66,65,2.66,69,0.7,63,28,0.46,5.92,1170,6.66,123,113,174,13.33,13.33,5,6.11,1.9,1.12,0.02,0.04,59,9,4,7,16,21,6.66,0.18,10,2.66,1.26,0.04,3.33,4,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
9161,807595.65,96661.18,1200,15/06/1998,3.33,0.66,57,2.66,68,0.7,32,20,0.46,5.53,967,6.66,87,48,187,13.33,13.33,5,5.37,1.42,1.3,0.04,0.05,60,9,3,9,18,16,6.66,0.17,8,2.66,1.26,0.049,3.33,3,Depósitos recientes no consolidados,QA
9197,807814.37,96985.33,1199.78,15/06/1998,6,0.66,73,2.66,78,0.7,68,29,0.46,7.28,1151,6.66,98,102,259,13.33,13.33,4,6.26,1.85,0.96,0.03,0.04,65,9,3,9,25,24,6.66,0.2,10,2.66,1.26,0.026,5,9,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
9237,786607.99,90142.21,1244.28,23/06/1998,3.33,0.66,25,7,90,0.7,11,13,0.46,3.04,610,6.66,134,26,81,13.33,13.33,3,2.8,0.36,0.17,0.01,0.02,15,3,3,6,8,5,6.66,0.09,5,2.66,1.26,0.059,11,2,Volcánicos andesíticos,MPlv
9393,807667.15,96254.18,1175.28,15/06/1998,3.33,0.66,82,2.66,95,0.7,33,26,0.46,7.43,987,6.66,70,63,370,13.33,13.33,4,5.08,1.4,1.08,0.05,0.04,73,8,1.33,7,37,18,6.66,0.26,7,2.66,1.26,0.026,3.33,6,Depósitos recientes no consolidados,QA
9455,807754.07,96178.72,1170.31,15/06/1998,5,0.66,99,2.66,96,0.7,21,29,0.46,9.79,1632,6.66,113,47,480,13.33,13.33,4,5.71,1.2,0.82,0.05,0.04,83,8,1.33,6,47,25,6.66,0.36,4,2.66,1.26,0.054,3.33,8,Depósitos recientes no consolidados,QA
9819,785349.2,95527.85,1480.76,23/06/1998,3.33,0.66,106,2.66,90,0.7,80,42,0.46,7.63,2332,6.66,155,240,155,13.33,13.33,5,4.35,1.51,0.32,0.01,0.02,23,8,7,6,13,23,6.66,0.12,6,2.66,1.26,0.046,7,9,Volcánicos andesíticos,MPlv
9918,785550.73,95365.36,1409.89,23/06/1998,3.33,0.66,67,2.66,76,0.7,19,20,0.46,4.48,666,6.66,234,40,119,13.33,13.33,5,4.94,0.87,0.22,0.02,0.03,27,5,7,8,10,10,6.66,0.12,7,2.66,1.26,0.076,3.33,3,Volcánicos andesíticos,MPlv
10022,802791.83,96422.86,828.45,18/06/1998,13,0.66,119,2.66,56,0.7,68,31,0.46,5.25,966,6.66,99,148,148,13.33,13.33,4,4.82,1.72,0.78,0.02,0.05,62,6,3,7,12,17,6.66,0.17,4,2.66,1.26,0.048,9,6,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
10054,802769.25,96599.07,859.61,18/06/1998,33,0.66,80,2.66,52,0.7,46,29,0.46,4.72,1035,6.66,89,186,126,13.33,13.33,4,3.33,1.24,0.77,0.03,0.05,46,5,1.33,5,11,15,6.66,0.18,3,2.66,1.26,0.026,8,6,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
10111,804756.77,96883.73,1134.28,15/06/1998,3.33,0.66,92,2.66,61,0.7,94,36,0.46,5.76,1095,6.66,66,205,155,13.33,13.33,4,5.4,2.61,1.33,0.02,0.03,65,8,4,9,12,24,6.66,0.18,7,2.66,1.26,0.026,8,9,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
10135,803607.86,95982.08,991.53,18/06/1998,15,0.66,88,2.66,45,0.7,55,29,0.46,4.33,937,6.66,81,133,114,13.33,13.33,3,3.85,1.55,0.92,0.03,0.06,70,6,1.33,7,9,11,6.66,0.18,1,2.66,1.26,0.026,6,7,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
10158,804129.18,95482.86,858.69,18/06/1998,46,0.66,72,2.66,47,0.7,27,19,0.46,3.95,735,6.66,116,86,133,13.33,13.33,4,3.38,0.61,0.36,0.02,0.03,31,4,3,6,12,9,6.66,0.13,5,2.66,1.26,0.045,3.33,3,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
10362,785650.32,96235.45,1395.09,23/06/1998,13,0.66,145,2.66,170,0.7,14,19,0.46,5.46,1617,6.66,169,25,106,13.33,13.33,5,4.23,0.96,0.24,0.02,0.05,27,6,8,8,8,10,6.66,0.08,4,4.2,1.26,0.056,3.33,1,Volcánicos andesíticos,MPlv
10363,805637.26,96447.82,990.01,15/06/1998,13,0.66,74,2.66,58,0.7,58,27,0.46,5.29,761,6.66,73,116,145,13.33,13.33,5,5.05,1.88,1.17,0.02,0.02,56,7,5,8,12,19,6.66,0.16,5,2.66,1.26,0.026,3.33,5,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
10599,786437.58,96631.61,1198.36,22/06/1998,3.33,0.66,64,2.66,84,0.7,23,22,0.46,5.51,1046,6.66,134,60,122,13.33,13.33,4,3.84,0.8,0.3,0.02,0.03,29,6,6,6,10,10,6.66,0.12,3,2.66,1.26,0.051,3.33,2,Volcánicos andesíticos,MPlv
10701,807563.45,93504.69,1029.46,18/06/1998,6,0.66,93,2.66,68,0.7,13,24,0.46,7.1,1454,6.66,116,32,309,13.33,13.33,4,4.51,0.71,0.59,0.03,0.04,86,6,5,7,28,18,6.66,0.17,6,6.8,1.26,0.047,3.33,8,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
10739,804857.67,93857.47,806.03,18/06/1998,3.33,0.66,29,4,42,0.7,18,25,0.46,6.52,907,6.66,138,41,245,13.33,13.33,6,2.6,0.37,0.38,0.02,0.03,26,7,4,4,17,9,6.66,0.1,6,2.66,1.26,0.026,3.33,7,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
